id,total_unique_reviews,unique_review_rate
2595,5,0.104166667
3831,7,0.020057307
5121,3,0.06
5136,0,0
5178,4,0.00845666
5203,3,0.025423729
5238,3,0.01863354
5552,3,0.045454545
5803,7,0.038888889
6021,2,0.016260163
6848,2,0.011049724
6990,30,0.128755365
7097,2,0.008695652
7750,,
7801,1,0.111111111
8490,4,0.034782609
8505,0,0
8700,,
9657,1,0.03030303
9704,2,0.020408163
10452,1,0.013333333
10962,7,0.038674033
11943,,
12048,2,0.00913242
12192,3,0.011450382
12343,2,0.018691589
12627,0,0
12937,13,0.046428571
12940,1,0.014925373
13050,0,0
13121,0,0
13267,1,0.028571429
13394,2,0.013986014
13677,7,0.101449275
13808,9,0.063829787
14290,5,0.051546392
14314,7,0.038888889
14322,0,0
14991,0,0
15220,6,0.018461538
15341,0,0
15385,0,0
15396,0,0
15711,3,0.036144578
15962,1,0.017241379
16326,8,0.053333333
16338,0,0
16458,0,0
16580,4,0.00982801
16595,8,0.045977011
16821,1,0.008403361
16974,3,0.014150943
17037,6,0.113207547
17092,1,0.034482759
17693,4,0.066666667
17747,1,0.0078125
18127,0,0
18195,0,0
18198,0,0
18728,12,0.065217391
18764,0,0
18961,0,0
19159,3,0.051724138
19169,0,0
19282,1,0.058823529
19601,1,0.04
19812,0,0
20300,0,0
20611,6,0.031088083
20717,2,0.046511628
20724,0,0
20755,0,0
20913,4,0.023809524
21456,1,0.012195122
21644,0,0
21794,1,0.027777778
23135,5,0.019305019
23545,2,0.00913242
23686,11,0.224489796
24143,10,0.028409091
24285,3,0.034090909
25235,2,0.011764706
25406,0,0
25696,4,0.021052632
26012,0,0
26362,2,0.005347594
26520,0,0
26559,0,0
26785,18,0.038297872
26969,19,0.055555556
27006,0,0
27644,1,0.004784689
27659,0,0
27759,1,0.05
27883,0,0
28907,5,0.238095238
29013,0,0
29455,4,0.023668639
29628,3,0.010676157
29683,2,0.018867925
30031,22,0.112244898
31130,1,0.015151515
31555,1,0.034482759
31902,0,0
31994,8,0.017241379
32023,7,0.02661597
32037,4,0.043478261
32041,0,0
32289,1,0.1
32329,0,0
32331,0,0
32363,0,0
32965,3,0.021276596
33009,8,0.031746032
33014,0,0
