,id,listing_url,last_scraped,host_location,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,bathrooms_number,bathrooms_type,listing_duration,hosting_duration,price_per_person,is_local_host,total_unique_reviews,unique_review_rate,lat_name,lng_name,lat_lng_name,covid_case_rate,lat_long_id,total_crime_per_day
0,2595,https://www.airbnb.com/rooms/2595,2020-09-08 00:00:00,"New York, New York, United States",2008-09-09 00:00:00,within a day,0.83,0.24,f,Midtown,6,6,t,t,Midtown,Manhattan,40.75362,-73.98377,Entire apartment,Entire home/apt,2,1 bath,,1,175,3,1125,3,3,1125,1125,3,1125,t,30,60,90,365,48,1,0,2009-11-21 00:00:00,2019-11-04 00:00:00,94,9,9,10,10,10,9,f,2,2,0,0,0.37,1,undefined,3635,4073,87.5,t,5,0.104166667,6,6,6-6,25265.89,5-6,0.471940997
1,3831,https://www.airbnb.com/rooms/3831,2020-09-08 00:00:00,"New York, New York, United States",2008-12-07 00:00:00,within an hour,0.94,0.96,f,Clinton Hill,1,1,t,t,Clinton Hill,Brooklyn,40.68514,-73.95976,Entire guest suite,Entire home/apt,3,1 bath,1,3,76,1,730,1,1,1125,1125,1,1125,t,13,30,51,272,349,69,8,2014-09-30 00:00:00,2020-08-23 00:00:00,89,8,9,9,9,9,9,f,1,1,0,0,4.82,1,undefined,2154,4277,25.33333333,t,7,0.020057307,4,6,4-6,12549.77,4-6,0.244448073
2,5178,https://www.airbnb.com/rooms/5178,2020-09-08 00:00:00,"New York, New York, United States",2009-03-03 00:00:00,within a few hours,1,1,f,Hell's Kitchen,1,1,t,f,Hell's Kitchen,Manhattan,40.76489,-73.98493,Private room in apartment,Private room,2,1 bath,1,1,79,2,14,2,2,14,14,2,14,t,25,55,79,346,473,29,0,2009-05-06 00:00:00,2020-03-15 00:00:00,84,9,7,9,9,10,9,f,1,0,1,0,3.42,1,undefined,3966,4030,39.5,t,4,0.00845666,6,6,6-6,25265.89,6-6,0.26869693
3,5803,https://www.airbnb.com/rooms/5803,2020-09-09 00:00:00,"New York, New York, United States",2009-03-10 00:00:00,within a few hours,1,0.98,t,Park Slope,3,3,t,t,South Slope,Brooklyn,40.66829,-73.98779,Private room in townhouse,Private room,2,1.5 baths,1,0,86,4,20,4,4,20,20,4,20,t,30,60,90,365,180,9,0,2009-04-23 00:00:00,2020-03-18 00:00:00,94,10,10,10,10,10,10,f,3,1,2,0,1.3,1.5,undefined,3982,4026,43,t,7,0.038888889,4,6,4-6,12549.77,4-6,0.244448073
4,6990,https://www.airbnb.com/rooms/6990,2020-09-09 00:00:00,"New York, New York, United States",2009-05-12 00:00:00,within an hour,1,0.96,t,East Harlem,3,3,t,t,East Harlem,Manhattan,40.78962,-73.94802,Entire apartment,Entire home/apt,2,1 bath,1,1,239.29,4,700,4,4,1125,1125,4,1125,t,30,60,90,365,233,2,0,2009-10-28 00:00:00,2019-12-09 00:00:00,98,10,10,10,10,10,10,t,1,1,0,0,1.76,1,undefined,3694,3863,119.645,t,30,0.128755365,6,7,6-7,20558.47,6-7,0.307233834
5,8490,https://www.airbnb.com/rooms/8490,2020-09-08 00:00:00,"New York, New York, United States",2009-07-10 00:00:00,within an hour,0.92,0.97,f,Bedford-Stuyvesant,2,2,t,t,Bedford-Stuyvesant,Brooklyn,40.68371,-73.94028,Entire loft,Entire home/apt,5,1 bath,1,4,120,2,1125,2,2,1125,1125,2,1125,t,20,37,67,331,115,19,1,2009-08-25 00:00:00,2020-08-13 00:00:00,95,10,9,10,10,9,9,f,2,2,0,0,0.86,1,undefined,4006,4052,24,t,4,0.034782609,4,7,4-7,19004.67,4-7,0.476812541
6,10962,https://www.airbnb.com/rooms/10962,2020-09-09 00:00:00,"New York, New York, United States",2009-03-10 00:00:00,within a few hours,1,0.98,t,Park Slope,3,3,t,t,South Slope,Brooklyn,40.66869,-73.9878,Private room in townhouse,Private room,2,1 shared bath,1,0,86,4,30,4,4,30,30,4,30,t,30,60,90,365,181,8,1,2009-09-27 00:00:00,2020-09-04 00:00:00,95,10,9,10,10,10,10,f,3,1,2,0,1.36,1,shared,3995,4196,43,t,7,0.038674033,4,6,4-6,12549.77,4-6,0.244448073
7,12937,https://www.airbnb.com/rooms/12937,2020-09-09 00:00:00,"New York, New York, United States",2009-10-31 00:00:00,within a day,1,0.91,t,Long Island City,1,1,t,f,Long Island City,Queens,40.74771,-73.9474,Private room in townhouse,Private room,4,1 private bath,1,2,130,2,20,2,2,20,20,2,20,t,22,46,70,246,280,22,0,2010-06-13 00:00:00,2020-03-15 00:00:00,98,10,10,10,10,10,10,f,1,0,1,0,2.24,1,private,3563,3788,32.5,t,13,0.046428571,5,7,5-7,6381.48,5-7,0.131014587
8,13677,https://www.airbnb.com/rooms/13677,2020-09-08 00:00:00,"Brooklyn, New York, United States",2009-11-12 00:00:00,within a day,0.64,0.89,f,Chelsea,2,2,t,t,Chelsea,Manhattan,40.74395,-73.99451,Private room in apartment,Private room,1,,1,1,150,2,365,2,2,365,365,2,365,t,30,60,90,365,69,0,0,2010-10-12 00:00:00,2014-01-06 00:00:00,97,10,10,10,10,10,10,f,3,2,1,0,0.57,,undefined,1182,1516,150,t,7,0.101449275,5,6,5-6,17175.14,5-6,0.471940997
9,13808,https://www.airbnb.com/rooms/13808,2020-09-08 00:00:00,"New York, New York, United States",2009-11-14 00:00:00,within a day,1,0.96,f,Stuyvesant Heights,3,3,t,t,Bedford-Stuyvesant,Brooklyn,40.68064,-73.94039,Private room in townhouse,Private room,2,1 private bath,1,1,81,2,1125,2,2,1125,1125,2,1125,t,20,50,80,348,141,20,0,2010-06-06 00:00:00,2020-07-12 00:00:00,93,10,9,10,10,9,9,f,3,0,3,0,1.13,1,private,3689,3893,40.5,t,9,0.063829787,4,7,4-7,19004.67,4-7,0.476812541
